,,,,,tanhacu,,,,,,,,monte-santo-de-minas,,,,,,,,,,,,juquia,,
,,,,,taperoa,,,,,,,,montes-claros,,,,,,,,,,,,juquitiba,,
,,,,,tapiramuta,,,,,,,,monte-siao,,,,,,,,,,,,laranjal-paulista,,
,,,,,terra-nova,,,,,,,,muriae,,,,,,,,,,,,leme,,
,,,,,tremedal,,,,,,,,mutum,,,,,,,,,,,,lencois-paulista,,
,,,,,tucano,,,,,,,,muzambinho,,,,,,,,,,,,limeira,,
,,,,,uaua,,,,,,,,nanuque,,,,,,,,,,,,lins,,
,,,,,ubaira,,,,,,,,nepomuceno,,,,,,,,,,,,lorena,,
,,,,,ubaitaba,,,,,,,,nova-era,,,,,,,,,,,,louveira,,
,,,,,ubata,,,,,,,,nova-lima,,,,,,,,,,,,lucelia,,
,,,,,una,,,,,,,,novo-cruzeiro,,,,,,,,,,,,macatuba,,
,,,,,urucuca,,,,,,,,oliveira,,,,,,,,,,,,mairinque,,
,,,,,valenca,,,,,,,,ouro-branco,,,,,,,,,,,,mairipora,,
,,,,,valente,,,,,,,,ouro-preto,,,,,,,,,,,,maracai,,
,,,,,vera-cruz,,,,,,,,padre-paraiso,,,,,,,,,,,,marilia,,
,,,,,vitoria-da-conquista,,,,,,,,papagaios,,,,,,,,,,,,martinopolis,,
,,,,,xique-xique,,,,,,,,paracatu,,,,,,,,,,,,matao,,
,,,,,,,,,,,,,para-de-minas,,,,,,,,,,,,maua,,
,,,,,,,,,,,,,paraguacu,,,,,,,,,,,,miguelopolis,,
,,,,,,,,,,,,,paraisopolis,,,,,,,,,,,,miracatu,,
,,,,,,,,,,,,,passa-quatro,,,,,,,,,,,,mirandopolis,,
,,,,,,,,,,,,,passos,,,,,,,,,,,,mirante-do-paranapanema,,
,,,,,,,,,,,,,patos-de-minas,,,,,,,,,,,,mococa,,
,,,,,,,,,,,,,patrocinio,,,,,,,,,,,,mogi-das-cruzes,,
,,,,,,,,,,,,,pecanha,,,,,,,,,,,,mogi-guacu,,
,,,,,,,,,,,,,pedra-azul,,,,,,,,,,,,mogi-mirim,,
,,,,,,,,,,,,,pedro-leopoldo,,,,,,,,,,,,mongagua,,
,,,,,,,,,,,,,perdoes,,,,,,,,,,,,monte-alto,,
,,,,,,,,,,,,,pirapora,,,,,,,,,,,,monte-aprazivel,,
,,,,,,,,,,,,,pitangui,,,,,,,,,,,,monte-azul-paulista,,
,,,,,,,,,,,,,piui,,,,,,,,,,,,monte-mor,,
,,,,,,,,,,,,,pocos-de-caldas,,,,,,,,,,,,morro-agudo,,
,,,,,,,,,,,,,pompeu,,,,,,,,,,,,nova-granada,,
,,,,,,,,,,,,,ponte-nova,,,,,,,,,,,,nova-odessa,,
,,,,,,,,,,,,,porteirinha,,,,,,,,,,,,novo-horizonte,,
,,,,,,,,,,,,,pouso-alegre,,,,,,,,,,,,olimpia,,
,,,,,,,,,,,,,prata,,,,,,,,,,,,orlandia,,
,,,,,,,,,,,,,presidente-olegario,,,,,,,,,,,,osasco,,
,,,,,,,,,,,,,raposos,,,,,,,,,,,,osvaldo-cruz,,
,,,,,,,,,,,,,recreio,,,,,,,,,,,,ourinhos,,
,,,,,,,,,,,,,resplendor,,,,,,,,,,,,pacaembu,,
,,,,,,,,,,,,,ribeirao-das-neves,,,,,,,,,,,,palmital,,
,,,,,,,,,,,,,rio-casca,,,,,,,,,,,,panorama,,
,,,,,,,,,,,,,rio-novo,,,,,,,,,,,,paraguacu-paulista,,
,,,,,,,,,,,,,rio-pardo-de-minas,,,,,,,,,,,,paranapanema,,
,,,,,,,,,,,,,rio-piracicaba,,,,,,,,,,,,pariquera-acu,,
,,,,,,,,,,,,,rio-pomba,,,,,,,,,,,,paulinia,,
,,,,,,,,,,,,,sabinopolis,,,,,,,,,,,,paulista-florida,,
,,,,,,,,,,,,,sacramento,,,,,,,,,,,,pederneiras,,
,,,,,,,,,,,,,salinas,,,,,,,,,,,,pedregulho,,
,,,,,,,,,,,,,santa-luzia,,,,,,,,,,,,pedreira,,
,,,,,,,,,,,,,santa-maria-do-suacui,,,,,,,,,,,,penapolis,,
,,,,,,,,,,,,,santana-do-paraiso,,,,,,,,,,,,pereira-barreto,,
,,,,,,,,,,,,,santa-rita-do-sapucai,,,,,,,,,,,,peruibe,,
,,,,,,,,,,,,,santa-vitoria,,,,,,,,,,,,piedade,,
,,,,,,,,,,,,,santo-antonio-do-amparo,,,,,,,,,,,,pilar-do-sul,,
,,,,,,,,,,,,,santo-antonio-do-monte,,,,,,,,,,,,pindamonhangaba,,
,,,,,,,,,,,,,santos-dumont,,,,,,,,,,,,pindorama,,
,,,,,,,,,,,,,sao-domingos-do-prata,,,,,,,,,,,,piquete,,
,,,,,,,,,,,,,sao-francisco,,,,,,,,,,,,piracaia,,
,,,,,,,,,,,,,sao-goncalo-do-sapucai,,,,,,,,,,,,piracicaba,,
,,,,,,,,,,,,,sao-gotardo,,,,,,,,,,,,piraju,,
,,,,,,,,,,,,,sao-joao-da-ponte,,,,,,,,,,,,pirajui,,
,,,,,,,,,,,,,sao-joao-del-rei,,,,,,,,,,,,pirapora-do-bom-jesus,,
,,,,,,,,,,,,,sao-joao-do-paraiso,,,,,,,,,,,,pirapozinho,,
,,,,,,,,,,,,,sao-joao-evangelista,,,,,,,,,,,,pirassununga,,
,,,,,,,,,,,,,sao-joao-nepomuceno,,,,,,,,,,,,pitangueiras,,
,,,,,,,,,,,,,sao-joaquim-de-bicas,,,,,,,,,,,,poa,,
,,,,,,,,,,,,,sao-lourenco,,,,,,,,,,,,pompeia,,
,,,,,,,,,,,,,sao-sebastiao-do-paraiso,,,,,,,,,,,,pontal,,
,,,,,,,,,,,,,sarzedo,,,,,,,,,,,,porto-feliz,,
,,,,,,,,,,,,,serro,,,,,,,,,,,,porto-ferreira,,
,,,,,,,,,,,,,sete-lagoas,,,,,,,,,,,,pradopolis,,
,,,,,,,,,,,,,taiobeiras,,,,,,,,,,,,praia-grande,,
,,,,,,,,,,,,,teofilo-otoni,,,,,,,,,,,,presidente-bernardes,,
,,,,,,,,,,,,,timoteo,,,,,,,,,,,,presidente-epitacio,,
,,,,,,,,,,,,,tiradentes,,,,,,,,,,,,presidente-prudente,,
,,,,,,,,,,,,,tocantins,,,,,,,,,,,,presidente-venceslau,,
,,,,,,,,,,,,,tres-coracoes,,,,,,,,,,,,promissao,,
,,,,,,,,,,,,,tres-pontas,,,,,,,,,,,,quata,,
,,,,,,,,,,,,,tupaciguara,,,,,,,,,,,,rancharia,,
,,,,,,,,,,,,,turmalina,,,,,,,,,,,,regente-feijo,,
,,,,,,,,,,,,,uba,,,,,,,,,,,,registro,,
,,,,,,,,,,,,,uberaba,,,,,,,,,,,,ribeirao-bonito,,
,,,,,,,,,,,,,uberlandia,,,,,,,,,,,,ribeirao-branco,,
,,,,,,,,,,,,,unai,,,,,,,,,,,,ribeirao-pires,,
,,,,,,,,,,,,,varginha,,,,,,,,,,,,ribeirao-preto,,
,,,,,,,,,,,,,varzea-da-palma,,,,,,,,,,,,rio-claro,,
,,,,,,,,,,,,,varzelandia,,,,,,,,,,,,rio-das-pedras,,
,,,,,,,,,,,,,vazante,,,,,,,,,,,,rio-grande-da-serra,,
,,,,,,,,,,,,,vespasiano,,,,,,,,,,,,salto,,
,,,,,,,,,,,,,vicosa,,,,,,,,,,,,salto-de-pirapora,,
,,,,,,,,,,,,,visconde-do-rio-branco,,,,,,,,,,,,santa-adelia,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-barbara-d-oeste,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-branca,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-cruz-das-palmeiras,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-cruz-do-rio-pardo,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-fe-do-sul,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-gertrudes,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-isabel,,
,,,,,,,,,,,,,,,,,,,,,,,,,santana-de-parnaiba,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-rita-do-passa-quatro,,
,,,,,,,,,,,,,,,,,,,,,,,,,santa-rosa-de-viterbo,,
,,,,,,,,,,,,,,,,,,,,,,,,,santo-anastacio,,
,,,,,,,,,,,,,,,,,,,,,,,,,santo-andre,,
,,,,,,,,,,,,,,,,,,,,,,,,,santo-antonio-de-posse,,
,,,,,,,,,,,,,,,,,,,,,,,,,santos,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-bernardo-do-campo,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-caetano-do-sul,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-carlos,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-joao-da-boa-vista,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-joaquim-da-barra,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-jose-do-rio-pardo,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-jose-do-rio-preto,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-jose-dos-campos,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-lourenco-da-serra,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-manuel,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-pedro,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-roque,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-sebastiao,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-simao,,
,,,,,,,,,,,,,,,,,,,,,,,,,sao-vicente,,
,,,,,,,,,,,,,,,,,,,,,,,,,serrana,,
,,,,,,,,,,,,,,,,,,,,,,,,,serra-negra,,
,,,,,,,,,,,,,,,,,,,,,,,,,sertaozinho,,
,,,,,,,,,,,,,,,,,,,,,,,,,severinia,,
,,,,,,,,,,,,,,,,,,,,,,,,,socorro,,
,,,,,,,,,,,,,,,,,,,,,,,,,sorocaba,,
,,,,,,,,,,,,,,,,,,,,,,,,,sumare,,
,,,,,,,,,,,,,,,,,,,,,,,,,suzano,,
,,,,,,,,,,,,,,,,,,,,,,,,,tabatinga,,
,,,,,,,,,,,,,,,,,,,,,,,,,taboao-da-serra,,
,,,,,,,,,,,,,,,,,,,,,,,,,tambau,,
,,,,,,,,,,,,,,,,,,,,,,,,,tanabi,,
,,,,,,,,,,,,,,,,,,,,,,,,,taquaritinga,,
,,,,,,,,,,,,,,,,,,,,,,,,,taquarituba,,
,,,,,,,,,,,,,,,,,,,,,,,,,taruma,,
,,,,,,,,,,,,,,,,,,,,,,,,,tatui,,
,,,,,,,,,,,,,,,,,,,,,,,,,taubate,,
,,,,,,,,,,,,,,,,,,,,,,,,,teodoro-sampaio,,
,,,,,,,,,,,,,,,,,,,,,,,,,tiete,,
,,,,,,,,,,,,,,,,,,,,,,,,,tremembe,,
,,,,,,,,,,,,,,,,,,,,,,,,,tupa,,
,,,,,,,,,,,,,,,,,,,,,,,,,tupi-paulista,,
,,,,,,,,,,,,,,,,,,,,,,,,,ubatuba,,
,,,,,,,,,,,,,,,,,,,,,,,,,urupes,,
,,,,,,,,,,,,,,,,,,,,,,,,,valinhos,,
,,,,,,,,,,,,,,,,,,,,,,,,,valparaiso,,
,,,,,,,,,,,,,,,,,,,,,,,,,vargem-grande-do-sul,,
,,,,,,,,,,,,,,,,,,,,,,,,,varzea-paulista,,
,,,,,,,,,,,,,,,,,,,,,,,,,vinhedo,,
,,,,,,,,,,,,,,,,,,,,,,,,,viradouro,,
,,,,,,,,,,,,,,,,,,,,,,,,,votorantim,,
,,,,,,,,,,,,,,,,,,,,,,,,,votuporanga,,
